bodyId_pre,bodyId_post,roi,weight
10043,10324,EB,120
10043,11433,EB,107
10043,11503,EB,5
10043,11605,EB,33
10043,11874,EB,3
10043,11886,EB,102
10043,11989,EB,3
10043,12059,EB,28
10043,12449,EB,5
10043,12656,EB,110
10043,12706,EB,4
10043,13094,EB,5
10043,13217,EB,7
10043,14284,EB,41
10043,14308,EB,2
10043,14552,EB,31
10043,14727,EB,2
10043,14871,EB,35
10043,14963,EB,32
10043,15616,EB,12
10043,15713,EB,4
10043,16360,EB,6
10043,17078,EB,36
10043,17171,EB,34
10043,18633,EB,44
10043,19072,EB,25
10043,19125,EB,7
10043,19355,EB,1
10043,20026,EB,25
10043,20253,EB,1
10043,20385,EB,1
10043,20715,EB,21
10043,20980,EB,1
10043,22001,EB,47
10043,22084,EB,35
10043,23874,EB,2
10043,26841,EB,2
10043,29711,EB,4
10043,29713,EB,14
10043,30171,EB,2
10043,30206,EB,34
10043,30443,EB,2
10043,31970,EB,5
10043,33911,EB,2
10043,34188,EB,26
10043,34239,EB,1
10043,34607,EB,5
10043,34737,EB,1
10043,36327,EB,1
10043,36928,EB,5
10043,38001,EB,2
10043,39798,EB,34
10043,41665,EB,1
10043,41908,EB,2
10043,44909,EB,52
10043,45427,EB,30
10043,46073,EB,41
10043,46764,EB,13
10043,51159,EB,27
10043,51555,EB,10
10043,58834,EB,29
10043,61590,EB,21
10043,61845,EB,22
10043,69454,EB,7
10043,72824,EB,3
10043,81159,EB,3
10043,84758,EB,5
10043,88342,EB,6
10043,92188,EB,7
10043,107195,EB,1
10043,294178,EB,27
10043,511777,EB,3
10043,511778,EB,43
10043,512305,EB,3
10043,512513,EB,11
10043,512514,EB,5
10043,512515,EB,1
10043,512928,EB,5
10043,513033,EB,3
10043,513284,EB,4
10043,513379,EB,31
10043,513463,EB,5
10043,513464,EB,1
10043,513517,EB,5
10043,513520,EB,5
10043,514126,EB,5
10043,515675,EB,1
10043,516944,EB,35
10043,517059,EB,1
10043,517763,EB,21
10043,519140,EB,3
10043,519144,EB,1
10043,519328,EB,1
10043,519329,EB,1
10043,519941,EB,1
10043,520468,EB,7
10043,520812,EB,2
10043,520818,EB,1
10043,521409,EB,2
10043,521528,EB,31
10043,521534,EB,31
10043,521535,EB,36
10043,521812,EB,5
10043,521813,EB,5
10043,523786,EB,9
10043,524073,EB,1
