bodyId,type,instance
10043,ER5,ER5_L
10044,SMP108,SMP108_L
10099,ExR6,ExR6_R
10285,CRE011,CRE011_L
10299,AstA1,AstA1_R
10324,ExR1,ExR1_R
10328,SMP709m,SMP709m_R
10342,DNc02,DNc02(SIFa)_R
10539,EPG,EPG(PB08)_R2
10568,FB4L,FB4L_R
10599,MBON35,MBON35(y2)_L
10624,ExR5,ExR5_R
10804,MBON20,MBON20(y1y2)_R
10969,ExR4,ExR4_L
11115,AVLP562,AVLP562_L
11255,FB1C,FB1C_L
11307,EPG,EPG(PB08)_L4
11326,ExR5,ExR5_R
11340,ExR7,ExR7_R
11433,ExR1,ExR1_L
11490,LAL073,LAL073_R
11503,EPG,EPG(PB08)_R8
11605,ER5,ER5_R
11618,PPL102,PPL102(y1)_L
11874,EPG,EPG(PB08)_L7
11886,ExR1,ExR1_R
11933,ER2_c,ER2_c_R
11987,EPG,EPG(PB08)_R5
11989,EPG,EPG(PB08)_L5
12059,ER5,ER5_R
12083,FB4B,FB4B_L
12104,GLNO,GLNO(LAL-NO1)_L
12106,FB1G,FB1G_R
12333,FB4M,FB4M(PPM3-FB3/4-NO-DAN)_R
12357,ER2_c,ER2_c_L
12358,PEN_a(PEN1),PEN_a(PB06a)_L3
12449,EPG,EPG(PB08)_L5
12506,ExR6,ExR6_L
12569,DPM,DPM_R
12656,ExR1,ExR1_L
12706,ExR3,ExR3_L
12797,ER4m,ER4m_R
12902,PPL108,PPL108_R
13094,ER4d,ER4d_R
13217,EPG,EPG(PB08)_L8
13395,ER4m,ER4m_R
13434,ER4m,ER4m_R
13559,FB4Y,FB4Y_L
13877,LAL159,LAL159_R
13914,hDeltaK,hDeltaK_07_C6c
13985,ER4m,ER4m_L
13999,ER3w_c,ER3w_c_R
14182,PPL103,PPL103(y2a'1)_R
14268,CL199,CL199_L
14284,ER5,ER5_R
14308,ER4m,ER4m_L
14434,FB4Y,FB4Y_R
14464,ER6,ER6_L
14482,ER4m,ER4m_R
14507,EPG,EPG(PB08)_R7
14552,EL,EL_L
14727,EPG,EPG(PB08)_L7
14871,EL,EL_R
14963,ER5,ER5_L
15176,PEN_b(PEN2),PEN_b(PB06b)_R8
15441,LAL154,LAL154_L
15444,ER2_d,ER2_d_L
15458,ExR8,ExR8_L
15605,CL326,CL326_L
15616,EPG,EPG(PB08)_R3
15713,EPG,EPG(PB08)_L6
15888,FB4M,FB4M(PPM3-FB3/4-NO-DAN)_R
15924,FB4G,FB4G_L
16008,PEG,PEG(PB07)_R1
16343,ER4d,ER4d_R
16360,EPG,EPG(PB08)_L6
16440,ER4m,ER4m_L
16473,CRE012,CRE012_R
16580,SMP715m,SMP715m_R
16598,ER3w_b,ER3w_b_R
16800,PFGs,PFGs(PB10)_L4_C4
