bodyId_pre,bodyId_post,roi,weight
10013,10540,b'L(R),4
10013,40788,b'L(R),1
10013,50065,b'L(R),1
10013,52140,b'L(R),1
10013,61555,b'L(R),1
10013,63391,b'L(R),1
10013,68334,b'L(R),2
10013,72195,b'L(R),1
10013,81273,b'L(R),1
10013,84137,b'L(R),1
10013,145324,b'L(R),1
10013,155329,b'L(R),1
10013,155793,b'L(R),1
10013,252045,b'L(R),1
10013,291665,b'L(R),1
10043,46764,b'L(R),1
10043,521534,b'L(R),1
10044,12732,aL(R),1
10044,13018,a'L(R),2
10044,13018,aL(R),1
10044,13613,a'L(R),1
10044,13613,aL(R),1
10044,14268,bL(R),1
10044,16617,a'L(R),2
10044,16617,aL(R),2
10044,16736,a'L(R),1
10044,16736,aL(R),1
10044,19065,a'L(R),1
10044,20272,a'L(R),1
10044,21692,a'L(R),2
10044,22405,aL(R),1
10044,33632,aL(R),2
10044,39368,a'L(R),1
10044,51426,a'L(R),1
10044,52793,a'L(R),2
10044,52793,aL(R),1
10044,54285,a'L(R),1
10044,55461,a'L(R),3
10044,57048,a'L(R),4
10044,65193,a'L(R),1
10044,67864,aL(R),2
10044,76899,a'L(R),1
10044,79979,a'L(R),3
10044,106434,a'L(R),1
10044,148328,bL(R),1
10044,207463,a'L(R),3
10044,513630,a'L(R),2
10044,519132,a'L(R),3
10044,521074,a'L(R),1
10044,529519,a'L(R),3
10044,529839,a'L(R),1
10044,540383,a'L(R),2
10044,558665,a'L(R),1
10080,10299,bL(R),2
10080,20418,bL(R),2
10080,104087,bL(R),1
10080,524750,bL(R),1
10099,10324,bL(R),4
10099,11886,bL(R),3
10099,12656,bL(R),3
10099,34188,bL(R),1
10099,51555,bL(R),1
10099,57591,bL(R),8
10099,511778,bL(R),1
10099,512514,bL(R),8
10099,517763,bL(R),1
10099,519140,bL(R),2
10099,520817,bL(R),1
10099,543506,bL(R),10
10109,10774,aL(R),1
10109,15699,aL(R),1
10109,26179,aL(R),1
10109,35728,aL(R),1
10109,46409,aL(R),1
10109,46788,aL(R),1
10109,64876,aL(R),2
10120,10941,bL(R),1
10120,513531,bL(R),1
10120,519751,bL(R),1
10122,11001,a'L(R),1
10122,11324,aL(R),1
10122,11691,b'L(R),1
10122,12003,a'L(R),1
10122,12037,a'L(R),4
10122,12654,b'L(R),2
10122,12910,b'L(R),2
10122,13018,a'L(R),2
10122,13613,bL(R),2
10122,13737,b'L(R),1
10122,14667,a'L(R),1
10122,14705,a'L(R),1
10122,16617,a'L(R),1
10122,16617,b'L(R),1
10122,16736,a'L(R),2
10122,16736,bL(R),2
10122,16736,b'L(R),1
10122,18749,a'L(R),1
10122,19615,a'L(R),2
10122,19615,b'L(R),2
10122,19615,bL(R),2
10122,19616,b'L(R),2
10122,19616,bL(R),2
10122,21692,a'L(R),2
10122,21692,bL(R),2
10122,21692,b'L(R),1
10122,22405,a'L(R),2
10122,23141,b'L(R),1
10122,24225,b'L(R),1
10122,24225,bL(R),1
10122,27954,a'L(R),3
10122,33775,a'L(R),1
10122,36374,a'L(R),1
10122,36374,b'L(R),1
10122,36374,bL(R),1
10122,37997,a'L(R),1
10122,44398,a'L(R),1
10122,44798,a'L(R),2
10122,45998,a'L(R),2
10122,47601,a'L(R),3
10122,47773,a'L(R),2
10122,47827,a'L(R),6
10122,48786,b'L(R),3
10122,48786,bL(R),1
10122,49425,a'L(R),1
10122,52567,a'L(R),1
10122,54149,a'L(R),2
10122,55461,aL(R),1
10122,55552,a'L(R),3
10122,56537,a'L(R),1
10122,67864,a'L(R),1
10122,69858,a'L(R),3
10122,69858,bL(R),1
10122,76899,a'L(R),1
10122,77701,a'L(R),1
10122,83670,a'L(R),4
10122,106434,a'L(R),1
10122,125945,a'L(R),1
10122,128076,a'L(R),1
10122,132513,b'L(R),1
10122,133427,bL(R),1
10122,134769,a'L(R),1
10122,136144,a'L(R),1
10122,139378,b'L(R),1
10122,145898,a'L(R),2
10122,167563,a'L(R),3
10122,167563,b'L(R),2
10122,167563,bL(R),1
10122,259089,a'L(R),3
10122,291665,a'L(R),2
10122,512925,bL(R),1
10122,513630,a'L(R),2
10122,513630,b'L(R),1
10122,515735,a'L(R),1
10122,517337,a'L(R),7
10122,519132,a'L(R),5
10122,519132,b'L(R),2
10122,523059,a'L(R),1
10122,524678,aL(R),1
10122,529519,a'L(R),6
10122,529519,b'L(R),2
10122,529839,a'L(R),3
10122,530799,a'L(R),2
10122,531708,a'L(R),1
10122,533103,a'L(R),1
10122,579919,b'L(R),1
10138,10798,a'L(R),1
10138,17434,a'L(R),1
10138,18825,a'L(R),1
10138,167194,bL(R),1
10167,10774,aL(R),2
10167,15699,aL(R),1
10167,16311,aL(R),1
10167,18825,aL(R),1
10167,19066,aL(R),1
10167,24396,aL(R),2
10167,34871,aL(R),1
10167,35364,aL(R),1
10167,35728,aL(R),1
10167,93555,aL(R),1
10167,149390,aL(R),1
10167,513764,aL(R),1
10167,521028,aL(R),1
10168,11805,a'L(R),2
10168,13870,a'L(R),1
10168,16058,b'L(R),1
10168,19594,a'L(R),1
10168,21692,a'L(R),1
10168,26287,bL(R),1
10168,36374,bL(R),1
10168,39368,bL(R),1
10168,45633,a'L(R),1
10168,45998,a'L(R),1
10168,46788,a'L(R),1
10168,58909,b'L(R),1
10168,58909,bL(R),1
10168,59841,a'L(R),1
10168,79979,a'L(R),1
10168,87564,bL(R),1
10168,88318,a'L(R),2
10168,104633,a'L(R),1
10168,115868,bL(R),1
10168,287884,bL(R),2
10168,495287,a'L(R),1
10168,512392,a'L(R),1
10168,519132,a'L(R),1
10168,519368,a'L(R),1
10168,522828,b'L(R),1
10168,522838,bL(R),1
10168,527254,bL(R),1
10168,540383,bL(R),1
10168,545611,a'L(R),1
10168,570381,a'L(R),2
10175,10378,a'L(R),1
10175,10669,aL(R),1
10175,11032,aL(R),1
10175,11805,a'L(R),6
10175,12003,a'L(R),1
10175,13870,a'L(R),1
10175,17805,a'L(R),1
10175,19519,a'L(R),1
10175,21692,a'L(R),1
10175,23947,a'L(R),1
10175,29555,a'L(R),3
10175,38338,a'L(R),1
10175,68084,a'L(R),1
10175,68804,a'L(R),1
10175,84479,a'L(R),2
10175,117238,aL(R),1
10175,133427,a'L(R),1
10175,138823,a'L(R),1
10175,145898,a'L(R),1
10175,229837,a'L(R),1
10175,508595,a'L(R),1
10175,511982,a'L(R),1
10175,516524,a'L(R),1
10175,519132,a'L(R),2
10175,522828,a'L(R),3
10175,524504,aL(R),1
10175,525391,a'L(R),1
10187,10704,b'L(R),2
10187,11318,bL(R),2
10187,11618,bL(R),1
10187,13066,bL(R),1
10187,13121,bL(R),1
10187,13481,a'L(R),1
10187,14275,bL(R),2
10187,14928,bL(R),1
10187,15689,bL(R),1
10187,17720,bL(R),1
10187,18242,bL(R),1
10187,18617,bL(R),3
10187,22291,bL(R),1
10187,23261,aL(R),1
10187,23601,bL(R),1
10187,23795,aL(R),2
10187,25763,bL(R),1
10187,26792,b'L(R),1
10187,27524,bL(R),2
10187,29582,b'L(R),1
10187,29582,bL(R),1
10187,31083,aL(R),1
10187,33011,bL(R),2
10187,35279,bL(R),2
10187,37511,bL(R),1
10187,37997,aL(R),2
10187,38272,bL(R),2
10187,38351,aL(R),1
10187,38853,aL(R),1
10187,39246,bL(R),1
10187,39377,bL(R),1
10187,39707,bL(R),3
10187,42793,bL(R),1
10187,45936,bL(R),1
10187,46277,bL(R),1
10187,47732,b'L(R),1
10187,48786,bL(R),1
10187,55083,b'L(R),1
10187,56350,bL(R),1
10187,58172,bL(R),1
10187,60624,b'L(R),1
10187,61475,b'L(R),1
10187,61779,b'L(R),1
10187,61779,bL(R),1
10187,61878,a'L(R),1
10187,62645,b'L(R),1
10187,66017,aL(R),2
10187,71534,bL(R),2
10187,71769,bL(R),1
10187,72274,a'L(R),3
10187,84239,a'L(R),1
10187,84604,a'L(R),1
10187,93704,b'L(R),1
10187,100453,bL(R),1
10187,110361,bL(R),2
10187,113001,b'L(R),1
