bodyId,type,instance
10005,AOTU019,AOTU019_R
10013,MBON01,MBON01(y5B'2a)_R
10043,ER5,ER5_L
10044,SMP108,SMP108_L
10080,OA-VUMa3,OA-VUMa3_M
10099,ExR6,ExR6_R
10104,aSP22,aSP22(DNa12)_R
10109,VES041,VES041_L
10120,OA-VPM4,OA-VPM4_L
10122,SMP108,SMP108_R
10138,oviIN,oviIN_R
10144,SMP001,SMP001_R
10167,VES041,VES041_R
10168,OA-VUMa6,OA-VUMa6(OA-VUMa7)_M
10175,OA-VUMa6,OA-VUMa6(OA-VUMa7)_M
10187,OA-VPM3,OA-VPM3_R
10230,SIP136m,SIP136m_R
10233,SIP105m,SIP105m_R
10239,AOTU042,AOTU042_R
10267,MBON14,MBON14(a3)_R
10268,CRE023,CRE023_L
10299,AstA1,AstA1_R
10324,ExR1,ExR1_R
10328,SMP709m,SMP709m_R
10337,LT34,LT34_R
10347,LHPV6q1,LHPV6q1_L
10356,LHPV5e3,LHPV5e3_L
10363,SIP029,SIP029_R
10368,CRE004,CRE004_L
10369,LAL198,LAL198_L
10378,AL-MBDL1,AL-MBDL1_R
10379,DNa10,DNa10_R
10384,DNp63,DNp63(PS113)_R
10388,DNp13,DNp13_R
10406,AOTU012,AOTU012_R
10410,AOTU035,AOTU035_R
10433,DNp10,DNp10_R
10435,AVLP032,AVLP032_L
10457,mALD1,mALD1_L
10486,LHPV10b1,LHPV10b1_R
10491,ALIN1,ALIN1_R
10511,SMP604,SMP604_R
10514,FB6A_c,FB6A_c_R
10540,APL,APL_R
10543,DNa16,DNa16(PS014)_R
10555,OA-VUMa3,OA-VUMa3_M
10564,SMP177,SMP177_L
10567,M_l2PNl20,M_l2PNl20_R
10568,FB4L,FB4L_R
10588,AVLP710m,AVLP710m_R
10601,DNpe025,DNpe025(PVLP145)_R
10618,SIP105m,SIP105m_L
10634,CRE062,CRE062_R
10635,CRE021,CRE021_R
10666,pC1x_c,pC1x_c_R
10669,CRE074,CRE074_R
10672,DNae009,DNae009(PS009)_R
10704,MBON11,MBON11(y1pedc>a/B)_L
10707,SMP593,SMP593_R
10712,DNp36,DNp36(CL342)_L
10720,CB0128,CB0128_R
10724,DNp62,DNp62(DSKMP1B)_L
10737,ALIN1,ALIN1_R
10744,FB5A,FB5A_R
10765,pMP2,pMP2_R
10774,AOTU100m,AOTU100m_R
10777,PS088,PS088_L
10798,SMP543,SMP543_R
10804,MBON20,MBON20(y1y2)_R
10811,ATL033,ATL033_R
10826,MBON21,MBON21(y4y5)_L
10850,AOTU016_c,AOTU016_c_R
10937,CL251,CL251_R
10941,GNG121,GNG121(hb828282250)_L
10977,APL,APL_L
10983,PVLP211m_a,PVLP211m_a_R
10987,CL311,CL311_R
11001,LHMB1,LHMB1_R
11022,CL053,CL053_R
11023,GNG304,GNG304_L
11032,SMP147,SMP147_R
11038,GNG321,GNG321(hb582372162)_L
11115,AVLP562,AVLP562_L
11116,pIP10,pIP10_R
11141,M_spPN4t9,M_spPN4t9_R
11170,SLP388,SLP388_R
11174,LHCENT8,LHCENT8_R
11176,MBON26,MBON26(b'2d)_R
11192,CRE040,CRE040_R
11195,M_spPN5t10,M_spPN5t10_L
11196,AOTU103m,AOTU103m_R
11236,CRE005,CRE005_L
11286,SIP126m_a,SIP126m_a_R
11318,CRE107,CRE107_R
11324,SMP177,SMP177_R
11327,PPL101,PPL101(y1ped)_R
11329,SMP272,SMP272_R
11340,ExR7,ExR7_R
11341,LHCENT2,LHCENT2_R
11343,SMP586,SMP586_R
11363,VES045,VES045_R
11383,DGI,DGI_R
11402,MBON11,MBON11(y1pedc>a/B)_R
11406,LoVC1,LoVC1(IB112)_L
