bodyId,type,channel,diff
18713,MBON09,ACCEPT,3.388888888888893
19267,MBON09,ACCEPT,3.277777777777777
519368,MBON12,ACCEPT,2.7777777777777786
513391,MBON17-like,ACCEPT,2.7777777777777772
519131,MBON32,ACCEPT,2.7777777777777772
12859,MBON07,ACCEPT,2.444444444444457
11176,MBON26,ACCEPT,2.1111111111111107
26485,MBON28,ACCEPT,2.1111111111111107
521086,MBON12,ACCEPT,1.7222222222222285
519373,MBON03,ACCEPT,1.6666666666666856
44619,MBON15-like,ACCEPT,1.6666666666666667
41692,MBON17,ACCEPT,0.3888888888888893
11402,MBON11,ACCEPT,0.055555555555571345
514853,MBON13,REJECT,-6.2777777777777715
11805,MBON31,REJECT,-2.944444444444443
17946,MBON14,REJECT,-2.7777777777777715
14221,MBON18,REJECT,-1.6666666666666572
15708,MBON24,REJECT,-1.6111111111111107
515338,MBON07,REJECT,-1.6111111111110858
20835,MBON23,REJECT,-1.3888888888888857
522749,MBON02,REJECT,-1.1666666666666643
10267,MBON14,REJECT,-1.1666666666666572
12690,MBON06,REJECT,-1.0
10013,MBON01,REJECT,-0.8888888888888999
562782,MBON16,REJECT,-0.8333333333333357
522444,MBON02,REJECT,-0.5555555555555429
